WKT,id,from_node,to_node,length,v0,connector,lanes,alpha,rcr,capacity,modes
"MULTILINESTRING ((12.4481535899163 41.8087992643113,12.4481325898235 41.8087092632558))",-58374,"46701","46726",0.010147000000000,39.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.4506846757422 41.8097502852124,12.4503026622716 41.8096752827943,12.4502586607605 41.8096612824581,12.4502236596252 41.8096412820955,12.450194658801 41.8096092816293,12.4501196569123 41.8094942800771))",-59211,"47669","47107",0.058956000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4505696705063 41.8098842861668,12.4506846757422 41.8097502852124))",-59534,"47900","47669",0.017687000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4501816649737 41.8087272720982,12.4501356581788 41.8094042791777,12.4501196569123 41.8094942800771))",-59210,"47491","47107",0.085376000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4496146448945 41.8086272686307,12.4496226457238 41.8085562679017))",-58970,"47039","47032",0.007914000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4501816649737 41.8087272720982,12.4501786655043 41.8086422711724))",-59229,"47491","47494",0.009445000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4508036811854 41.8096082841889,12.4506846757422 41.8097502852124))",-59535,"47901","47669",0.018616000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4509816655504 41.8125493165427,12.450232640207 41.8122603102757))",-59261,"47703","47654",0.070028000000000,46.067999999999998,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.450232640207 41.8122603102757,12.4500686346558 41.8121973089065))",-59189,"47654","46849",0.015319000000000,46.067999999999998,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.4352830391048 41.8191173208287,12.4323639479459 41.8169852855655,12.4295528604329 41.8148972512324,12.4289018401854 41.814411243255,12.4284898273598 41.8141052382233,12.4272917897963 41.8132512239768))",-50822,"40979","40832",0.930269000000000,52.299999999999997,0,1.000000000000000,1.600000000000000,30.000000000000000,1945.006000000000085,"c,h"
"MULTILINESTRING ((12.4353390424699 41.8189443192056,12.4327449619921 41.8169792871124))",-52191,"42134","40973",0.306735000000000,52.299999999999997,0,1.000000000000000,1.600000000000000,30.000000000000000,1945.006000000000085,"c,h"
"MULTILINESTRING ((12.4361091019891 41.8148112780336,12.4356400830328 41.8150392785014,12.4352670680194 41.8152122787838,12.4349350548375 41.8153422787774,12.4346740445289 41.8154372786949))",-52693,"42339","42449",0.138195000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4412742194172 41.8243954029086,12.4402261869936 41.8235883898004,12.4352450317542 41.8199053291403))",-52849,"42678","42544",0.706850000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.43574405211 41.8196383283793,12.4354970423603 41.8197273282919,12.4352450317542 41.8199053291403))",-52850,"42679","42544",0.051575000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4492064732115 41.8293974902237,12.4480634377319 41.8285314760795,12.4442283187198 41.8256234285978,12.4440793140963 41.8255104267529,12.4413592296782 41.823450393104))",-55424,"44764","44742",0.928050000000000,52.299999999999997,0,3.000000000000000,1.600000000000000,30.000000000000000,1945.006000000000085,"c,h"
"MULTILINESTRING ((12.4327449619921 41.8169792871124,12.4285508308788 41.8139362366652,12.4284948291159 41.8138972360092,12.4284358272655 41.8138552353082,12.4283498246119 41.8137882342243))",-50816,"40973","40651",0.508903000000000,52.299999999999997,0,1.000000000000000,1.600000000000000,30.000000000000000,1945.006000000000085,"c,h"
"MULTILINESTRING ((12.432443962826 41.8154052689209,12.4322959583851 41.8152732668763,12.4321049523112 41.815148264725,12.4318669446312 41.8150072622029,12.4315149330343 41.8148302588118,12.4312429240144 41.8147012562749,12.4310069164081 41.8145602537613,12.4308629118649 41.8144612520882,12.4307809094564 41.8143812508815,12.4307379082543 41.8143312501623,12.4307099074597 41.8143002497107,12.4306899071405 41.814245249035,12.4306859072807 41.8142072486097,12.4306929076664 41.8141902484566,12.4307159085494 41.8141852485002,12.4307889111033 41.8142022489917,12.43084091281 41.8142292495018,12.4309099148844 41.8142902504492,12.430957916172 41.8143532513293,12.4310289181612 41.8144352525109,12.4310749196172 41.8144662530386,12.4311309215162 41.8144872535012,12.4313379288429 41.8145242547744))",-51787,"41659","41809",0.272706000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4335989993517 41.8161882822214,12.4329179695586 41.8168192861241,12.4327449619921 41.8169792871124))",-52192,"42135","40973",0.112933000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
