id_detector,timestamp,value,mode,day_type
49685,1320,937.175,all,weekend
49685,1335,937.175,all,weekend
49685,1350,937.175,all,weekend
49685,1365,937.175,all,weekend
49685,1380,1055.675,all,weekend
49685,1395,1055.675,all,weekend
49685,1410,1055.675,all,weekend
49685,1425,1055.675,all,weekend
63706,0,975.125,all,weekend
63706,15,975.125,all,weekend
63706,30,975.125,all,weekend
63706,45,975.125,all,weekend
63706,60,683.225,all,weekend
63706,75,683.225,all,weekend
63706,90,683.225,all,weekend
63706,105,683.225,all,weekend
63706,120,355,all,weekend
63706,135,355,all,weekend
63706,150,355,all,weekend
63706,165,355,all,weekend
63706,180,376.35,all,weekend
63706,195,376.35,all,weekend
63706,210,376.35,all,weekend
63706,225,376.35,all,weekend
63706,240,493.85,all,weekend
63706,255,493.85,all,weekend
63706,270,493.85,all,weekend
63706,285,493.85,all,weekend
63706,300,647.275,all,weekend
63706,315,647.275,all,weekend
63706,330,647.275,all,weekend
63706,345,647.275,all,weekend
63706,360,1188.925,all,weekend
63706,375,1188.925,all,weekend
63706,390,1188.925,all,weekend
63706,405,1188.925,all,weekend
63706,420,1733.625,all,weekend
63706,435,1733.625,all,weekend
63706,450,1733.625,all,weekend
63706,465,1733.625,all,weekend
63706,480,2099.575,all,weekend
63706,495,2099.575,all,weekend
63706,510,2099.575,all,weekend
63706,525,2099.575,all,weekend
63706,540,2137.75,all,weekend
63706,555,2137.75,all,weekend
63706,570,2137.75,all,weekend
63706,585,2137.75,all,weekend
63706,600,2314.15,all,weekend
63706,615,2314.15,all,weekend
63706,630,2314.15,all,weekend
63706,645,2314.15,all,weekend
63706,660,2362.4,all,weekend
63706,675,2362.4,all,weekend
63706,690,2362.4,all,weekend
63706,705,2362.4,all,weekend
63706,720,2313.125,all,weekend
63706,735,2313.125,all,weekend
63706,750,2313.125,all,weekend
63706,765,2313.125,all,weekend
63706,780,2352.325,all,weekend
63706,795,2352.325,all,weekend
63706,810,2352.325,all,weekend
63706,825,2352.325,all,weekend
63706,840,2780.075,all,weekend
63706,855,2780.075,all,weekend
63706,870,2780.075,all,weekend
63706,885,2780.075,all,weekend
63706,900,2944.55,all,weekend
63706,915,2944.55,all,weekend
63706,930,2944.55,all,weekend
63706,945,2944.55,all,weekend
63706,960,2920.3,all,weekend
63706,975,2920.3,all,weekend
63706,990,2920.3,all,weekend
63706,1005,2920.3,all,weekend
63706,1020,2767.175,all,weekend
63706,1035,2767.175,all,weekend
63706,1050,2767.175,all,weekend
63706,1065,2767.175,all,weekend
63706,1080,2395.175,all,weekend
63706,1095,2395.175,all,weekend
63706,1110,2395.175,all,weekend
63706,1125,2395.175,all,weekend
63706,1140,2921.1,all,weekend
63706,1155,2921.1,all,weekend
63706,1170,2921.1,all,weekend
63706,1185,2921.1,all,weekend
63706,1200,2422.825,all,weekend
63706,1215,2422.825,all,weekend
63706,1230,2422.825,all,weekend
63706,1245,2422.825,all,weekend
63706,1260,1688.4,all,weekend
63706,1275,1688.4,all,weekend
63706,1290,1688.4,all,weekend
63706,1305,1688.4,all,weekend
63706,1320,1705.25,all,weekend
63706,1335,1705.25,all,weekend
63706,1350,1705.25,all,weekend
63706,1365,1705.25,all,weekend
63706,1380,1637.45,all,weekend
63706,1395,1637.45,all,weekend
63706,1410,1637.45,all,weekend
63706,1425,1637.45,all,weekend
63626,0,419.8,all,weekend
63626,15,419.8,all,weekend
63626,30,419.8,all,weekend
63626,45,419.8,all,weekend
63626,60,296.8,all,weekend
63626,75,296.8,all,weekend
63626,90,296.8,all,weekend
63626,105,296.8,all,weekend
63626,120,185.05,all,weekend
63626,135,185.05,all,weekend
63626,150,185.05,all,weekend
63626,165,185.05,all,weekend
63626,180,168.15,all,weekend
63626,195,168.15,all,weekend
63626,210,168.15,all,weekend
63626,225,168.15,all,weekend
63626,240,253.9,all,weekend
63626,255,253.9,all,weekend
63626,270,253.9,all,weekend
63626,285,253.9,all,weekend
63626,300,455.425,all,weekend
63626,315,455.425,all,weekend
63626,330,455.425,all,weekend
63626,345,455.425,all,weekend
63626,360,716.825,all,weekend
63626,375,716.825,all,weekend
63626,390,716.825,all,weekend
63626,405,716.825,all,weekend
63626,420,720,all,weekend
63626,435,720,all,weekend
63626,450,720,all,weekend
63626,465,720,all,weekend
63626,480,848.175,all,weekend
63626,495,848.175,all,weekend
63626,510,848.175,all,weekend
63626,525,848.175,all,weekend
63626,540,1117.8,all,weekend
63626,555,1117.8,all,weekend
63626,570,1117.8,all,weekend
63626,585,1117.8,all,weekend
